DATABASE_ID,DRUGBANK_ID,DRUG_GROUPS,GENERIC_NAME,SMILES
DB00163,DB00163,approved; nutraceutical; vet_approved,Vitamin E,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(O1)C(C)=C(C)C(O)=C2C
DB00165,DB00165,approved; investigational; nutraceutical; vet_approved,Pyridoxine,CC1=C(O)C(CO)=C(CO)C=N1
DB00166,DB00166,approved; investigational; nutraceutical,Lipoic acid,OC(=O)CCCC[C@@H]1CCSS1
DB00167,DB00167,investigational; nutraceutical,Isoleucine,CC[C@H](C)[C@H](N)C(O)=O
DB00168,DB00168,investigational; nutraceutical,Aspartame,COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](N)CC(O)=O
DB00169,DB00169,approved; nutraceutical,Cholecalciferol,CC(C)CCC[C@@H](C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C
DB00170,DB00170,approved; nutraceutical,Menadione,CC1=CC(=O)C2=CC=CC=C2C1=O
DB00171,DB00171,investigational; nutraceutical,ATP,[H][C@]1(COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])O
DB00172,DB00172,nutraceutical,Proline,OC(=O)[C@@H]1CCCN1
DB00173,DB00173,approved; nutraceutical,Adenine,NC1=C2NC=NC2=NC=N1
DB00174,DB00174,approved; investigational; nutraceutical,Asparagine,N[C@@H](CC(N)=O)C(O)=O
DB00175,DB00175,approved,Pravastatin,[H][C@]12[C@H](C[C@H](O)C=C1C=C[C@H](C)[C@@H]2CC[C@@H](O)C[C@@H](O)CC(O)=O)OC(=O)[C@@H](C)CC
DB00176,DB00176,approved; investigational,Fluvoxamine,COCCCC\C(=N/OCCN)C1=CC=C(C=C1)C(F)(F)F
DB00177,DB00177,approved; investigational,Valsartan,CCCCC(=O)N(CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1)[C@@H](C(C)C)C(O)=O
DB00178,DB00178,approved,Ramipril,[H][C@@]12CCC[C@]1([H])N([C@@H](C2)C(O)=O)C(=O)[C@H](C)N[C@@H](CCC1=CC=CC=C1)C(=O)OCC
DB00179,DB00179,approved; investigational,Masoprocol,C[C@@H](CC1=CC(O)=C(O)C=C1)[C@H](C)CC1=CC(O)=C(O)C=C1
DB00180,DB00180,approved; investigational,Flunisolide,[H][C@@]12C[C@@]3([H])[C@]4([H])C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4([H])[C@@H](O)C[C@]3(C)[C@@]1(OC(C)(C)O2)C(=O)CO
DB00181,DB00181,approved,Baclofen,NCC(CC(O)=O)C1=CC=C(Cl)C=C1
DB00182,DB00182,approved; illicit; investigational,Amphetamine,CC(N)CC1=CC=CC=C1
DB00184,DB00184,approved,Nicotine,CN1CCC[C@H]1C1=CN=CC=C1
DB00185,DB00185,approved,Cevimeline,CC1O[C@@]2(CS1)CN1CCC2CC1
DB00186,DB00186,approved,Lorazepam,OC1N=C(C2=CC=CC=C2Cl)C2=C(NC1=O)C=CC(Cl)=C2
DB00187,DB00187,approved; withdrawn,Esmolol,COC(=O)CCC1=CC=C(OCC(O)CNC(C)C)C=C1
DB00189,DB00189,approved; illicit; withdrawn,Ethchlorvynol,CCC(O)(\C=C\Cl)C#C
DB00190,DB00190,approved,Carbidopa,C[C@@](CC1=CC(O)=C(O)C=C1)(NN)C(O)=O
DB00191,DB00191,approved; illicit,Phentermine,CC(C)(N)CC1=CC=CC=C1
DB00192,DB00192,approved,Indecainide,CC(C)NCCCC1(C(N)=O)C2=CC=CC=C2C2=CC=CC=C12
DB00193,DB00193,approved; investigational,Tramadol,COC1=CC=CC(=C1)C1(O)CCCCC1CN(C)C
DB00194,DB00194,approved; investigational,Vidarabine,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O
DB00195,DB00195,approved; investigational,Betaxolol,CC(C)NCC(O)COC1=CC=C(CCOCC2CC2)C=C1
DB00196,DB00196,approved; investigational,Fluconazole,OC(CN1C=NC=N1)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1
DB00197,DB00197,approved; investigational; withdrawn,Troglitazone,CC1=C(C)C2=C(CCC(C)(COC3=CC=C(CC4SC(=O)NC4=O)C=C3)O2)C(C)=C1O
DB00198,DB00198,approved,Oseltamivir,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1
DB00201,DB00201,approved,Caffeine,CN1C=NC2=C1C(=O)N(C)C(=O)N2C
